5, 26, 5, 5, 1
63, 12, 5, 5, 1
29, 37, 5, 5, 1
28, 94, 5, 5, 1
34, 89, 5, 5, 0
21, 82, 5, 5, 1
8, 6, 5, 5, 1
61, 49, 5, 5, 1
30, 77, 5, 5, 0
13, 45, 5, 5, 1
63, 93, 5, 5, 1
64, 76, 5, 5, 1
56, 9, 5, 5, 0
84, 11, 5, 5, 1
32, 94, 5, 5, 0
12, 7, 5, 5, 0
7, 56, 5, 5, 1
51, 63, 5, 5, 1
70, 40, 5, 5, 0
39, 7, 5, 5, 1
86, 24, 5, 5, 1
83, 54, 5, 5, 1
92, 62, 5, 5, 0
39, 90, 5, 5, 1
26, 52, 5, 5, 1
26, 86, 5, 5, 0
39, 42, 5, 5, 0
72, 37, 5, 5, 1
39, 25, 5, 5, 1
11, 58, 5, 5, 0
66, 44, 5, 5, 0
79, 8, 5, 5, 0
64, 28, 5, 5, 0
72, 82, 5, 5, 0
20, 73, 5, 5, 0
44, 41, 5, 5, 1
18, 51, 5, 5, 0
47, 49, 5, 5, 0
13, 80, 5, 5, 0
84, 54, 5, 5, 0
51, 14, 5, 5, 1
37, 70, 5, 5, 1
6, 16, 5, 5, 0
13, 84, 5, 5, 0
13, 33, 5, 5, 0
61, 64, 5, 5, 0
49, 37, 5, 5, 0
76, 43, 5, 5, 0
7, 24, 5, 5, 0
81, 40, 5, 5, 0
71, 39, 5, 5, 0
91, 70, 5, 5, 1
48, 76, 5, 5, 1
40, 72, 5, 5, 0
46, 68, 5, 5, 0
24, 38, 5, 5, 0
15, 74, 5, 5, 0
5, 56, 5, 5, 0
77, 59, 5, 5, 0
50, 21, 5, 5, 0
53, 15, 5, 5, 0
46, 75, 5, 5, 0
45, 85, 5, 5, 0
78, 93, 5, 5, 1
94, 6, 5, 5, 0
37, 85, 5, 5, 0
79, 31, 5, 5, 0
8, 94, 5, 5, 1
16, 63, 5, 5, 0
10, 30, 5, 5, 0
43, 44, 5, 5, 0
90, 85, 5, 5, 1
78, 44, 5, 5, 0
70, 8, 5, 5, 0
30, 46, 5, 5, 0
35, 47, 5, 5, 0
33, 8, 5, 5, 0
51, 40, 5, 5, 0
51, 37, 5, 5, 0
25, 85, 5, 5, 0
29, 84, 5, 5, 0
83, 83, 5, 5, 0
13, 71, 5, 5, 1
29, 62, 5, 5, 0
10, 36, 5, 5, 0
88, 93, 5, 5, 0
60, 42, 5, 5, 0
23, 7, 5, 5, 1
23, 63, 5, 5, 0
14, 57, 5, 5, 0
29, 50, 5, 5, 0
46, 38, 5, 5, 0
77, 22, 5, 5, 0
73, 78, 5, 5, 0
93, 21, 5, 5, 0
88, 72, 5, 5, 0
30, 66, 5, 5, 0
92, 73, 5, 5, 0
52, 10, 5, 5, 0
78, 48, 5, 5, 0
12, 79, 5, 5, 0
49, 61, 5, 5, 0
88, 21, 5, 5, 0
61, 10, 5, 5, 0
58, 61, 5, 5, 0
75, 57, 5, 5, 0
84, 66, 5, 5, 0
30, 85, 5, 5, 0
21, 33, 5, 5, 0
23, 30, 5, 5, 0
38, 95, 5, 5, 0
34, 56, 5, 5, 0
30, 92, 5, 5, 0
33, 85, 5, 5, 0
36, 76, 5, 5, 0
35, 72, 5, 5, 0
71, 63, 5, 5, 1
28, 85, 5, 5, 0
54, 43, 5, 5, 0
42, 67, 5, 5, 0
18, 24, 5, 5, 1
40, 36, 5, 5, 0
48, 12, 5, 5, 0
71, 49, 5, 5, 0
40, 79, 5, 5, 0
84, 89, 5, 5, 0
52, 56, 5, 5, 0
37, 72, 5, 5, 0
31, 89, 5, 5, 0
55, 52, 5, 5, 0
12, 61, 5, 5, 0
9, 11, 5, 5, 0
38, 8, 5, 5, 0
77, 39, 5, 5, 0
90, 93, 5, 5, 0
29, 10, 5, 5, 0
72, 90, 5, 5, 0
62, 10, 5, 5, 0
72, 93, 5, 5, 0
32, 95, 5, 5, 0
19, 73, 5, 5, 0
83, 79, 5, 5, 0
54, 77, 5, 5, 0
52, 15, 5, 5, 0
14, 43, 5, 5, 0
41, 75, 5, 5, 0
54, 39, 5, 5, 0
